================================================================================
Airbench94 Training Configuration Log
================================================================================

AGC Used: False
Learning Rate (per 1024 examples): 46.0

Summary Results:
Mean Accuracy: 0.8124
Std Accuracy: 0.1416
Time Mean: 4.5440 seconds
Time Std: 1.5540 seconds

================================================================================

Detailed Training Logs:
================================================================================

|          |      9  |      1.0664  |     0.9062  |   0.8827  |               |              4.0475  |
|          |   eval  |      1.0664  |     0.9062  |   0.8827  |       0.8928  |              4.2204  |
------------------------------------------------------------------------------------------------------

|      16  |      0  |      1.4199  |     0.7041  |   0.4326  |               |              0.4243  |
|          |      1  |      1.3398  |     0.7783  |   0.4089  |               |              0.8455  |
|          |      2  |      2.2969  |     0.1309  |   0.1001  |               |              1.2674  |
|          |      3  |      2.1484  |     0.2031  |   0.1660  |               |              1.7019  |
|          |      4  |      2.2520  |     0.1201  |   0.1468  |               |              2.1075  |
|          |      5  |      1.9180  |     0.4092  |   0.3333  |               |              2.4930  |
|          |      6  |      1.7559  |     0.4863  |   0.3828  |               |              2.9167  |
|          |      7  |      1.5469  |     0.5879  |   0.5716  |               |              3.3191  |
|          |      8  |      1.2832  |     0.7754  |   0.7290  |               |              3.7217  |
|          |      9  |      1.1865  |     0.8438  |   0.8287  |               |              4.0926  |
|          |   eval  |      1.1865  |     0.8438  |   0.8287  |       0.8359  |              4.2651  |
------------------------------------------------------------------------------------------------------

|      17  |      0  |      1.3711  |     0.7471  |   0.4073  |               |              0.4243  |
|          |      1  |      1.3682  |     0.7588  |   0.3145  |               |              0.8537  |
|          |      2  |      3.8086  |     0.3379  |   0.1225  |               |              1.2853  |
|          |      3  |      2.3008  |     0.1543  |   0.1394  |               |              1.7079  |
|          |      4  |      2.1816  |     0.1689  |   0.1429  |               |              2.1107  |
|          |      5  |      2.2617  |     0.1250  |   0.1418  |               |              2.5136  |
|          |      6  |      1.9492  |     0.4121  |   0.2400  |               |              2.9179  |
|          |      7  |      1.7197  |     0.5186  |   0.3083  |               |              3.3178  |
|          |      8  |      1.4697  |     0.6680  |   0.5910  |               |              3.7299  |
|          |      9  |      1.3037  |     0.7637  |   0.7405  |               |              4.1029  |
|          |   eval  |      1.3037  |     0.7637  |   0.7405  |       0.7475  |              4.2751  |
------------------------------------------------------------------------------------------------------

|      18  |      0  |      1.3906  |     0.7256  |   0.5712  |               |              0.4218  |
|          |      1  |      1.4570  |     0.6924  |   0.5664  |               |              0.8449  |
|          |      2  |      2.2754  |     0.1211  |   0.1007  |               |              1.2650  |
|          |      3  |      1.9111  |     0.3936  |   0.3264  |               |              1.6677  |
|          |      4  |      2.1523  |     0.3369  |   0.2606  |               |              2.0710  |
|          |      5  |      1.7402  |     0.5156  |   0.3575  |               |              2.4724  |
|          |      6  |      1.6387  |     0.6006  |   0.5329  |               |              2.8644  |
|          |      7  |      1.2100  |     0.8340  |   0.7390  |               |              3.2605  |
|          |      8  |      1.1406  |     0.8545  |   0.7813  |               |              3.6622  |
|          |      9  |      1.0791  |     0.8896  |   0.8760  |               |              4.0414  |
|          |   eval  |      1.0791  |     0.8896  |   0.8760  |       0.8850  |              4.2133  |
------------------------------------------------------------------------------------------------------

|      19  |      0  |      1.4688  |     0.6670  |   0.5252  |               |              0.4228  |
|          |      1  |      1.4336  |     0.7207  |   0.3691  |               |              0.8431  |
|          |      2  |      1.4600  |     0.6982  |   0.4301  |               |              1.2653  |
|          |      3  |      2.8223  |     0.2080  |   0.1042  |               |              1.6480  |
|          |      4  |      1.9092  |     0.4150  |   0.2222  |               |              2.0416  |
|          |      5  |      2.0820  |     0.3174  |   0.1891  |               |              2.4365  |
|          |      6  |      2.0508  |     0.3438  |   0.3886  |               |              2.8385  |
|          |      7  |      1.4668  |     0.7100  |   0.5575  |               |              3.2395  |
|          |      8  |      1.1758  |     0.8496  |   0.7532  |               |              3.6260  |
|          |      9  |      1.1406  |     0.8506  |   0.8601  |               |              3.9940  |
|          |   eval  |      1.1406  |     0.8506  |   0.8601  |       0.8709  |              4.1658  |
------------------------------------------------------------------------------------------------------

|      20  |      0  |      1.4131  |     0.7109  |   0.6163  |               |              0.4225  |
|          |      1  |      1.4717  |     0.7100  |   0.4169  |               |              0.8738  |
