================================================================================
Airbench94 Training Configuration Log
================================================================================

AGC Used: True
AGC Clip Factor: 10.0
Learning Rate (per 1024 examples): 46.0

Summary Results:
Mean Accuracy: 0.9216
Std Accuracy: 0.0075
Time Mean: 4.8801 seconds
Time Std: 1.9078 seconds

================================================================================

Detailed Training Logs:
================================================================================

|          |   eval  |      0.9648  |     0.9658  |   0.9285  |       0.9358  |              4.8445  |
------------------------------------------------------------------------------------------------------

|      11  |      0  |      1.4014  |     0.7275  |   0.5643  |               |              0.5242  |
|          |      1  |      1.3438  |     0.7480  |   0.3683  |               |              1.1616  |
|          |      2  |      1.3154  |     0.7764  |   0.4864  |               |              1.8208  |
|          |      3  |      1.1953  |     0.8447  |   0.6176  |               |              2.4420  |
|          |      4  |      1.1875  |     0.8447  |   0.7519  |               |              3.0645  |
|          |      5  |      1.1143  |     0.8721  |   0.7964  |               |              3.5279  |
|          |      6  |      1.0752  |     0.9092  |   0.7951  |               |              4.0012  |
|          |      7  |      1.0645  |     0.9033  |   0.8532  |               |              4.4894  |
|          |      8  |      1.0078  |     0.9316  |   0.9044  |               |              4.9594  |
|          |   eval  |      1.0078  |     0.9316  |   0.9044  |       0.9192  |              5.1246  |
------------------------------------------------------------------------------------------------------

|      12  |      0  |      1.3887  |     0.7188  |   0.5628  |               |              0.4627  |
|          |      1  |      1.3301  |     0.7705  |   0.4748  |               |              0.9654  |
|          |      2  |      1.4023  |     0.7256  |   0.3979  |               |              1.4687  |
|          |      3  |      1.2266  |     0.8193  |   0.4165  |               |              1.9367  |
|          |      4  |      1.1836  |     0.8320  |   0.4875  |               |              2.3924  |
|          |      5  |      1.1553  |     0.8525  |   0.8144  |               |              2.8661  |
|          |      6  |      1.0508  |     0.9131  |   0.8465  |               |              3.3257  |
|          |      7  |      1.0352  |     0.9268  |   0.8378  |               |              3.7981  |
|          |      8  |      0.9990  |     0.9434  |   0.9102  |               |              4.2534  |
|          |   eval  |      0.9990  |     0.9434  |   0.9102  |       0.9192  |              4.4183  |
